group_type,group,measure,estimate,standard_error,lower_95,upper_95,unweighted_n,effective_n,design_df
Overall,All adults,"Fiber (g per 1,000 kcal)",8.2923,0.1304,8.0142,8.5703,4095,1445.9051,15
Overall,All adults,"Sodium (mg per 1,000 kcal)",1668.2304,11.3731,1643.9893,1692.4715,4095,1445.9051,15
Sex,Male,"Fiber (g per 1,000 kcal)",7.7646,0.1590,7.4257,8.1035,1977,665.0672,15
Sex,Male,"Sodium (mg per 1,000 kcal)",1682.5687,15.3751,1649.7974,1715.3400,1977,665.0672,15
Sex,Female,"Fiber (g per 1,000 kcal)",8.7841,0.1515,8.4612,9.1070,2118,784.0555,15
Sex,Female,"Sodium (mg per 1,000 kcal)",1654.8644,16.5766,1619.5323,1690.1966,2118,784.0555,15
Age group,20-39,"Fiber (g per 1,000 kcal)",8.0125,0.1751,7.6392,8.3857,1191,552.4072,15
Age group,20-39,"Sodium (mg per 1,000 kcal)",1726.6296,16.5700,1691.3116,1761.9476,1191,552.4072,15
Age group,40-59,"Fiber (g per 1,000 kcal)",8.0393,0.1712,7.6742,8.4043,1318,412.7996,15
Age group,40-59,"Sodium (mg per 1,000 kcal)",1642.3269,19.1039,1601.6080,1683.0459,1318,412.7996,15
Age group,60+,"Fiber (g per 1,000 kcal)",8.9305,0.1871,8.5317,9.3293,1586,522.4459,15
Age group,60+,"Sodium (mg per 1,000 kcal)",1628.5839,17.0368,1592.2709,1664.8969,1586,522.4459,15
