outcome,term,estimate,standard_error,lower_95,upper_95,unweighted_n,design_df,residual_df
"Fiber (g per 1,000 kcal)","Intercept: male, age 20-39, income ratio 0",6.9987,0.2495,6.4495,7.5478,3644,15,11
"Fiber (g per 1,000 kcal)",Age 40-59 vs 20-39,-0.0574,0.1726,-0.4374,0.3225,3644,15,11
"Fiber (g per 1,000 kcal)",Age 60+ vs 20-39,0.7923,0.2312,0.2834,1.3012,3644,15,11
"Fiber (g per 1,000 kcal)",Female vs male,0.9779,0.1964,0.5456,1.4101,3644,15,11
"Fiber (g per 1,000 kcal)",Family income-to-poverty ratio (per unit),0.1732,0.0501,0.0630,0.2835,3644,15,11
"Sodium (mg per 1,000 kcal)","Intercept: male, age 20-39, income ratio 0",1670.0425,31.0503,1601.7012,1738.3837,3644,15,11
"Sodium (mg per 1,000 kcal)",Age 40-59 vs 20-39,-86.3323,23.9951,-139.1451,-33.5194,3644,15,11
"Sodium (mg per 1,000 kcal)",Age 60+ vs 20-39,-111.3969,25.8863,-168.3723,-54.4215,3644,15,11
"Sodium (mg per 1,000 kcal)",Female vs male,-9.7683,23.9430,-62.4666,42.9299,3644,15,11
"Sodium (mg per 1,000 kcal)",Family income-to-poverty ratio (per unit),21.3492,7.3370,5.2004,37.4979,3644,15,11
